title,salary,,Rating,company,,,compsize,Founded,ownership,,,Revenue,Competitors,hourly,employer_provided_salary,min_salary,max_salary,average_salary,state,same_state,senior,research_positions,engineers,scientist,manager,analyst,Seniority,below_above_salaries
data scientist,53-91 ,,3.8,Tecolote Research,,,501 to 1000 ,26-05-1905,Company - Private,,,$50 to $100 million (USD),0,0,0,53000,91000,72000,NM,0,0,0,0,1,0,0,none,below average
data scientist,63-112 ,,3.4,University of Maryland Medical System,,,10000+ ,06-06-1905,Other Organization,,,$2 to $5 billion (USD),0,0,0,63000,112000,87500,MD,0,0,0,0,1,0,0,none,below average
data scientist,80-90 ,,4.8,KnowBe4,,,501 to 1000 ,02-07-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,80000,90000,85000,FL,1,0,0,0,1,0,0,none,below average
data scientist,56-97 ,,3.8,PNNL,,,1001 to 5000 ,18-05-1905,Government,,,$500 million to $1 billion (USD),3,0,0,56000,97000,76500,WA,1,0,0,0,1,0,0,none,below average
data scientist,86-143 ,,2.9,Affinity Solutions,,,51 to 200 ,20-06-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,86000,143000,114500,NY,1,0,0,0,1,0,0,none,above average
data scientist,71-119 ,,3.4,CyrusOne,,,201 to 500 ,22-06-1905,Company - Public,,,$1 to $2 billion (USD),3,0,0,71000,119000,95000,TX,1,0,0,0,1,0,0,none,below average
data scientist,54-93 ,,4.1,ClearOne Advantage,,,501 to 1000 ,30-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,54000,93000,73500,MD,1,0,0,0,1,0,0,none,below average
data scientist,86-142 ,,3.8,Logic20/20,,,201 to 500 ,27-06-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,86000,142000,114000,CA,0,0,0,0,1,0,0,none,above average
research,38-84 ,,3.3,Rochester Regional Health,,,10000+ ,06-07-1905,Hospital,,,$500 million to $1 billion (USD),0,0,0,38000,84000,61000,NY,1,0,1,0,0,0,0,none,below average
data scientist,120-160 ,,4.6,<intent>,,,51 to 200 ,01-07-1905,Company - Private,,,$100 to $500 million (USD),2,0,0,120000,160000,140000,NY,1,0,0,0,1,0,0,none,above average
data scientist,126-201 ,,3.5,Wish,,,501 to 1000 ,03-07-1905,Company - Private,,,$1 to $2 billion (USD),0,0,0,126000,201000,163500,CA,0,0,0,0,1,0,0,none,above average
data scientist,64-106 ,,4.1,ManTech,,,5001 to 10000 ,21-05-1905,Company - Public,,,$1 to $2 billion (USD),0,0,0,64000,106000,85000,VA,0,0,0,0,1,0,0,none,below average
data scientist,106-172 ,,3.2,Walmart,,,10000+ ,15-05-1905,Company - Public,,,$10+ billion (USD),3,0,0,106000,172000,139000,TX,0,0,0,0,1,0,0,none,above average
data analyst,46-85 ,,4.1,Yesler,,,201 to 500 ,04-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,46000,85000,65500,WA,1,0,0,0,0,0,1,none,below average
data scientist,83-144 ,,3.7,Takeda Pharmaceuticals,,,10000+ ,15-11-1904,Company - Public,,,$10+ billion (USD),3,0,0,83000,144000,113500,MA,0,0,0,0,1,0,0,none,above average
data engineer,102-190 ,,3.6,Audible,,,1001 to 5000 ,17-06-1905,Subsidiary or Business Segment,,,Unknown / Non-Applicable,0,0,0,102000,190000,146000,NJ,1,0,0,1,0,0,0,none,above average
other positions,67-137 ,,3.9,Blueprint Medicines,,,51 to 200 ,03-07-1905,Company - Public,,,$1 to $5 million (USD),3,0,0,67000,137000,102000,MA,1,0,0,0,0,0,0,none,above average
data scientist,118-189 ,,4.3,h2o.ai,,,201 to 500 ,03-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,118000,189000,153500,CA,1,0,0,0,1,0,0,none,above average
data scientist,110-175 ,,4.2,Nuna,,,51 to 200 ,02-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,110000,175000,142500,CA,1,0,0,0,1,0,0,none,above average
data scientist,64-111 ,,4,Pinnacol Assurance,,,501 to 1000 ,29-03-1905,Nonprofit Organization,,,$500 million to $1 billion (USD),0,0,0,64000,111000,87500,CO,1,0,0,0,1,0,0,none,below average
data scientist,81-130 ,,3.2,Porch,,,201 to 500 ,04-07-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,81000,130000,105500,WA,1,0,0,0,1,0,0,none,above average
data scientist,73-119 ,,3.9,Health IQ,,,201 to 500 ,05-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,73000,119000,96000,TX,0,1,0,0,1,0,0,none,below average
data scientist,86-139 ,,3.8,Truckstop.com,,,501 to 1000 ,17-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,86000,139000,112500,IL,0,0,0,0,1,0,0,none,above average
data scientist,63-105 ,,4.3,SMC 3,,,51 to 200 ,18-04-1905,Nonprofit Organization,,,$10 to $25 million (USD),0,0,0,63000,105000,84000,KY,0,0,0,0,1,0,0,none,below average
data scientist,109-177 ,,4,Novetta,,,501 to 1000 ,04-07-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,109000,177000,143000,VA,0,0,0,0,1,0,0,none,above average
data scientist,63-110 ,,4,Pfizer,,,10000+ ,22-01-1905,Company - Public,,,$10+ billion (USD),0,0,0,63000,110000,86500,MA,0,0,0,0,1,0,0,none,below average
data scientist,75-124 ,,3.5,First Tech Federal Credit Union,,,1001 to 5000 ,05-05-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,75000,124000,99500,OR,0,0,0,0,1,0,0,none,below average
data analyst,34-61 ,,3.7,The Hanover Insurance Group,,,5001 to 10000 ,25-01-1905,Company - Public,,,$5 to $10 billion (USD),0,0,0,34000,61000,47500,MA,1,0,0,0,0,0,1,none,below average
data scientist,63-105 ,,4,Pfizer,,,10000+ ,22-01-1905,Company - Public,,,$10+ billion (USD),0,0,0,63000,105000,84000,CT,0,0,0,0,1,0,0,none,below average
data scientist,80-90 ,,4.8,KnowBe4,,,501 to 1000 ,02-07-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,80000,90000,85000,FL,1,0,0,0,1,0,0,none,below average
data scientist,56-97 ,,3.8,PNNL,,,1001 to 5000 ,18-05-1905,Government,,,$500 million to $1 billion (USD),3,0,0,56000,97000,76500,WA,1,0,0,0,1,0,0,none,below average
data scientist,72-120 ,,3.6,Amrock,,,1001 to 5000 ,19-06-1905,Company - Private,,,$500 million to $1 billion (USD),0,0,0,72000,120000,96000,MI,1,0,0,0,1,0,0,none,below average
data scientist,86-143 ,,3.8,Novartis,,,10000+ ,18-06-1905,Company - Public,,,$10+ billion (USD),0,0,0,86000,143000,114500,MA,0,0,0,0,1,0,0,none,above average
data scientist,93-149 ,,3.8,Juniper Networks,,,5001 to 10000 ,18-06-1905,Company - Public,,,$2 to $5 billion (USD),0,0,0,93000,149000,121000,CA,1,0,0,0,1,0,0,none,above average
data scientist,85-140 ,,4.7,New England Biolabs,,,201 to 500 ,27-05-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,85000,140000,112500,MA,1,0,0,0,1,0,0,none,above average
data analyst,77-135 ,,4.2,Clarity Insights,,,201 to 500 ,30-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,77000,135000,106000,CA,0,0,0,0,0,0,1,none,above average
data scientist,82-132 ,,3.5,Esri,,,1001 to 5000 ,22-05-1905,Company - Private,,,$1 to $2 billion (USD),1,0,0,82000,132000,107000,CA,1,0,0,0,1,0,0,none,above average
data scientist,83-137 ,,4.7,Systems & Technology Research,,,201 to 500 ,02-07-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,83000,137000,110000,MA,1,0,0,0,1,0,0,none,above average
data scientist,115-180 ,,3.5,Sartorius,,,5001 to 10000 ,12-02-1905,Company - Public,,,$1 to $2 billion (USD),0,0,0,115000,180000,147500,CA,0,1,0,0,1,0,0,none,above average
data engineer,74-138 ,,3.5,Lancer Insurance,,,201 to 500 ,07-06-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,74000,138000,106000,NY,1,0,0,1,0,0,0,none,above average
data analyst,64-112 ,,4.2,Sauce Labs,,,201 to 500 ,30-06-1905,Company - Private,,,$50 to $100 million (USD),3,0,0,64000,112000,88000,CA,1,0,0,0,0,0,1,none,below average
data engineer,68-129 ,,3.6,Persivia,,,1 to 50 ,###############################################################################################################################################################################################################################################################,Company - Private,,,Less than $1 million (USD),0,0,0,68000,129000,98500,MA,0,0,0,1,0,0,0,none,below average
data scientist,110-175 ,,4.2,Nuna,,,51 to 200 ,02-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,110000,175000,142500,CA,1,0,0,0,1,0,0,none,above average
other positions,52-113 ,,3.4,Edgewell Personal Care,,,5001 to 10000 ,07-07-1905,Company - Public,,,$2 to $5 billion (USD),3,0,0,52000,113000,82500,NJ,0,0,0,0,0,0,0,none,below average
data scientist,110-150,,4.3,Equity Residential,,,1001 to 5000 ,15-06-1905,Company - Public,,,$2 to $5 billion (USD),3,0,0,110000,150000,130000,IL,1,1,0,0,1,0,0,none,above average
data scientist,150-160,,5,BPA Services,,,Unknown,###############################################################################################################################################################################################################################################################,Company - Private,,,Unknown / Non-Applicable,0,0,1,150000,160000,155000,DC,0,0,0,0,1,0,0,none,above average
data scientist,158-211 ,,3.7,Visa Inc.,,,10000+ ,11-05-1905,Company - Public,,,$10+ billion (USD),3,0,0,158000,211000,184500,WA,0,0,0,0,1,0,0,none,above average
data analyst,20-39 ,,3.1,Intrado,,,5001 to 10000 ,08-06-1905,Company - Private,,,$2 to $5 billion (USD),0,0,0,20000,39000,29500,CO,0,0,0,0,0,0,1,none,below average
other positions,56-117 ,,4.7,Centauri,,,501 to 1000 ,21-06-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,56000,117000,86500,OH,0,0,0,0,0,0,0,none,below average
data scientist,63-99 ,,3.7,Caterpillar,,,10000+ ,08-04-1905,Company - Public,,,$10+ billion (USD),3,0,0,63000,99000,81000,IL,0,0,0,0,1,0,0,none,below average
data scientist,68-114 ,,3.8,Zimmerman Advertising,,,501 to 1000 ,06-06-1905,Subsidiary or Business Segment,,,Unknown / Non-Applicable,0,0,0,68000,114000,91000,FL,1,0,0,0,1,0,0,none,below average
data scientist,86-143 ,,3.3,Liberty Mutual Insurance,,,10000+ ,26-03-1905,Company - Private,,,$10+ billion (USD),3,0,0,86000,143000,114500,MA,1,0,0,0,1,0,0,none,above average
data analyst,41-95 ,,4.6,"Torch Technologies, Inc.",,,1001 to 5000 ,24-06-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,41000,95000,68000,AL,1,0,0,0,0,0,1,none,below average
data scientist,86-144 ,,3.7,Swiss Re,,,10000+ ,05-02-1905,Company - Public,,,$10+ billion (USD),3,0,0,86000,144000,115000,NY,0,0,0,0,1,0,0,none,above average
data scientist,80-139 ,,3.7,Northrop Grumman,,,10000+ ,22-04-1905,Company - Public,,,$10+ billion (USD),0,0,0,80000,139000,109500,CA,0,0,0,0,1,0,0,none,above average
data scientist,56-95 ,,3.5,Sartorius,,,5001 to 10000 ,12-02-1905,Company - Public,,,$1 to $2 billion (USD),0,0,0,56000,95000,75500,NM,0,0,0,0,1,0,0,none,below average
data scientist,120-189 ,,4.1,Netskope,,,501 to 1000 ,04-07-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,120000,189000,154500,CA,0,0,0,0,1,0,0,none,above average
data scientist,111-176 ,,4.7,1904labs,,,51 to 200 ,08-07-1905,Company - Private,,,Unknown / Non-Applicable,2,0,0,111000,176000,143500,MO,1,0,0,0,1,0,0,none,above average
data scientist,54-93 ,,4.1,ClearOne Advantage,,,501 to 1000 ,30-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,54000,93000,73500,MD,1,0,0,0,1,0,0,none,below average
data scientist,71-119 ,,3.4,CyrusOne,,,201 to 500 ,22-06-1905,Company - Public,,,$1 to $2 billion (USD),3,0,0,71000,119000,95000,TX,1,0,0,0,1,0,0,none,below average
data scientist,82-132 ,,4.4,The David J. Joseph Company,,,201 to 500 ,27-02-1905,Subsidiary or Business Segment,,,Unknown / Non-Applicable,0,0,0,82000,132000,107000,OH,1,1,0,0,1,0,0,none,above average
data scientist,84-146 ,,4.3,USEReady,,,201 to 500 ,03-07-1905,Company - Private,,,$10 to $25 million (USD),0,0,0,84000,146000,115000,NY,1,0,0,0,1,0,0,none,above average
data scientist,107-172 ,,3.8,Bill.com,,,501 to 1000 ,28-06-1905,Company - Public,,,$50 to $100 million (USD),0,0,0,107000,172000,139500,CA,1,1,0,0,1,0,0,none,above average
data scientist,49-85 ,,3.8,Pacific Northwest National Laboratory,,,1001 to 5000 ,18-05-1905,Government,,,$500 million to $1 billion (USD),3,0,0,49000,85000,67000,WA,1,0,0,0,1,0,0,none,below average
data scientist,61-109 ,,3.8,DICK'S Sporting Goods - Corporate,,,10000+ ,01-05-1905,Company - Public,,,$5 to $10 billion (USD),3,0,0,61000,109000,85000,PA,1,0,0,0,1,0,0,none,below average
data scientist,88-148 ,,2.8,Berg Health,,,51 to 200 ,28-06-1905,Company - Private,,,$1 to $5 million (USD),0,0,0,88000,148000,118000,MA,1,0,0,0,1,0,0,none,above average
data scientist,60-99 ,,4.7,Oversight Systems,,,51 to 200 ,25-06-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,60000,99000,79500,GA,1,0,0,0,1,0,0,none,below average
data scientist,41-72 ,,3.1,C Space,,,201 to 500 ,21-06-1905,Company - Public,,,$100 to $500 million (USD),4,0,0,41000,72000,56500,MA,1,0,1,0,1,0,0,none,below average
data scientist,96-161 ,,3.2,"Numeric, LLC",,,1 to 50 ,###############################################################################################################################################################################################################################################################,Company - Private,,,$5 to $10 million (USD),0,0,0,96000,161000,128500,PA,0,0,0,0,1,0,0,none,above average
other positions,65-130 ,,4,HP Inc.,,,10000+ ,22-04-1905,Company - Public,,,Unknown / Non-Applicable,0,0,0,65000,130000,97500,WA,0,0,0,0,0,0,0,none,below average
other positions,52-81 ,,4.4,SpringML,,,1 to 50 ,07-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,52000,81000,66500,IN,0,0,0,0,0,0,0,none,below average
other positions,139-220 ,,3.6,Grainger,,,10000+ ,10-04-1905,Company - Public,,,$10+ billion (USD),0,0,0,139000,220000,179500,IL,1,0,0,0,0,0,0,none,above average
other positions,50-102 ,,2.7,EAG Laboratories,,,501 to 1000 ,31-05-1905,Subsidiary or Business Segment,,,$50 to $100 million (USD),0,0,0,50000,102000,76000,MO,0,0,0,0,0,0,0,none,below average
data scientist,85-139 ,,3.9,The Buffalo Group,,,501 to 1000 ,02-07-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,85000,139000,112000,VA,0,0,0,0,1,0,0,senior,above average
data scientist,74-122 ,,3.1,Carmeuse,,,1001 to 5000 ,02-02-1905,Company - Private,,,$1 to $2 billion (USD),3,0,0,74000,122000,98000,PA,0,0,0,0,1,0,0,none,below average
data scientist,99-157 ,,4,HP Inc.,,,10000+ ,22-04-1905,Company - Public,,,Unknown / Non-Applicable,0,0,0,99000,157000,128000,WA,0,1,0,0,1,0,0,senior,above average
data scientist,79-222 ,,4.3,h2o.ai,,,201 to 500 ,03-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,79000,222000,150500,CA,1,0,0,0,1,0,0,none,above average
research,57-118 ,,1.9,GNS Healthcare,,,51 to 200 ,22-06-1905,Company - Private,,,$10 to $25 million (USD),0,0,0,57000,118000,87500,MA,1,0,1,0,0,0,0,none,below average
data scientist,83-137 ,,3.3,Peraton,,,1001 to 5000 ,09-07-1905,Company - Private,,,$1 to $2 billion (USD),0,0,0,83000,137000,110000,VA,0,0,0,0,1,0,0,none,above average
data scientist,86-141 ,,4.4,Pactera,,,10000+ ,17-06-1905,Company - Private,,,$500 million to $1 billion (USD),3,0,0,86000,141000,113500,CA,0,0,0,0,1,0,0,none,above average
data scientist,94-154 ,,3.9,Nurx,,,51 to 200 ,08-07-1905,Company - Private,,,$1 to $5 million (USD),0,0,0,94000,154000,124000,CA,1,0,0,0,1,0,0,none,above average
data analyst,37-76 ,,4.7,webfx.com,,,201 to 500 ,19-06-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,37000,76000,56500,PA,1,0,0,0,0,0,1,junior,below average
data scientist,100-160 ,,4.5,Johns Hopkins University Applied Physics Laboratory,,,5001 to 10000 ,25-04-1905,Nonprofit Organization,,,$1 to $2 billion (USD),3,0,0,100000,160000,130000,MD,1,0,0,0,1,0,0,none,above average
data analyst,55-100 ,,4.3,Productive Edge,,,51 to 200 ,30-06-1905,Company - Private,,,$10 to $25 million (USD),3,0,0,55000,100000,77500,IL,1,0,0,0,0,0,1,none,below average
data engineer,60-114 ,,4,Excella Consulting,,,201 to 500 ,24-06-1905,Company - Private,,,$50 to $100 million (USD),0,0,0,60000,114000,87000,VA,1,0,0,1,0,0,0,none,below average
data analyst,39-68 ,,4.4,Gensco,,,501 to 1000 ,01-05-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,39000,68000,53500,WA,1,0,0,0,0,0,1,none,below average
data scientist,106-172 ,,3.2,Walmart,,,10000+ ,15-05-1905,Company - Public,,,$10+ billion (USD),3,0,0,106000,172000,139000,TX,0,0,0,0,1,0,0,none,above average
data scientist,86-142 ,,3.8,Logic20/20,,,201 to 500 ,27-06-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,86000,142000,114000,CA,0,0,0,0,1,0,0,none,above average
data scientist,64-107 ,,4.2,goTRG,,,501 to 1000 ,30-06-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,64000,107000,85500,FL,1,0,0,0,1,0,0,none,below average
other positions,31-65 ,,4.5,NMR Consulting,,,51 to 200 ,18-06-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,31000,65000,48000,AL,0,0,0,0,0,0,0,none,below average
data analyst,34-62 ,,3.5,iSeatz,,,51 to 200 ,21-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,34000,62000,48000,LA,1,0,0,0,0,0,1,none,below average
